Symbol,Exchange,Staking %,Open,High,Low,Close,Trend,Volume,Mid,WhaleHeat,Vol ⚡
BNB,Coinbase,[red]-5955731.68[/red],-,-,-,-,-,-,-,--------------------,-
BNB,Kraken,[red]-5955731.68[/red],858.32,866.88,849.03,865.13,↑,45.69,857.9549999999999,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
TRX,Binance,[red]27.00[/red],0.341,0.341,0.3367,0.34,↑,"150,682,013.3",0.33885,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
TRX,Coinbase,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
TRX,Kraken,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
SUI,Binance,[red]121.00[/red],3.2494,3.29,3.1458,3.2821,↓,"15,983,497.6",3.2179,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SUI,Coinbase,[red]121.00[/red],-,-,-,-,-,-,-,--------------------,-
SUI,Kraken,[red]121.00[/red],-,-,-,-,-,-,-,--------------------,-
APT,Binance,[red]6.88[/red],4.254,4.296,4.144,4.293,↓,"1,587,961.85",4.220000000000001,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
APT,Coinbase,[red]6.88[/red],4.26,4.29,4.16,4.29,↓,"1,828.73",4.225,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
APT,Kraken,[red]6.88[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Binance,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Coinbase,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Kraken,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
